"ent","code","year","educ","fert","pop"
"Swaziland","SWZ",2010,4.908533,3.527,1186056
"Sweden","SWE",2010,12.08298,1.912,9379687
"Switzerland","CHE",2010,12.65844,1.5,7664318
"Syria","SYR",2010,6.618928,3.21,20410606
"Taiwan","TWN",2010,12.81406,1.048,23025000
"Tajikistan","TJK",2010,10.87942,3.507,6878637
"Tanzania","TZA",2010,5.70303,5.427,44841226
"Thailand","THA",2010,9.449305,1.547,69122234
"Togo","TGO",2010,4.503073,4.868,6027798
"Tonga","TON",2010,11.52373,3.913,104058
"Trinidad and Tobago","TTO",2010,11.38195,1.806,1341465
"Tunisia","TUN",2010,7.97294,2.144,10480934
"Turkey","TUR",2010,7.127374,2.155,72752325
"Uganda","UGA",2010,5.288293,6.154,33424683
"Ukraine","UKR",2010,11.57077,1.448,45448329
"United Arab Emirates","ARE",2010,10.23583,1.869,7511690
"United Kingdom","GBR",2010,12.77681,1.892,62035570
"United States","USA",2010,13.31037,1.963,310383948
"Uruguay","URY",2010,9.123509,2.078,3368786
"Venezuela","VEN",2010,9.50528,2.472,28979857
"Vietnam","VNM",2010,7.354842,1.946,87848445
"Zambia","ZMB",2010,6.887143,5.397,13088570
"Zimbabwe","ZWE",2010,7.711895,4.028,12571454
