CNT,CNTRYID,W_FSTUWT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,W_FSTURWT1,W_FSTURWT2,W_FSTURWT3,W_FSTURWT4,W_FSTURWT5,W_FSTURWT6,W_FSTURWT7,W_FSTURWT8,W_FSTURWT9,W_FSTURWT10,W_FSTURWT11,W_FSTURWT12,W_FSTURWT13,W_FSTURWT14,W_FSTURWT15,W_FSTURWT16,W_FSTURWT17,W_FSTURWT18,W_FSTURWT19,W_FSTURWT20,W_FSTURWT21,W_FSTURWT22,W_FSTURWT23,W_FSTURWT24,W_FSTURWT25,W_FSTURWT26,W_FSTURWT27,W_FSTURWT28,W_FSTURWT29,W_FSTURWT30,W_FSTURWT31,W_FSTURWT32,W_FSTURWT33,W_FSTURWT34,W_FSTURWT35,W_FSTURWT36,W_FSTURWT37,W_FSTURWT38,W_FSTURWT39,W_FSTURWT40,W_FSTURWT41,W_FSTURWT42,W_FSTURWT43,W_FSTURWT44,W_FSTURWT45,W_FSTURWT46,W_FSTURWT47,W_FSTURWT48,W_FSTURWT49,W_FSTURWT50,W_FSTURWT51,W_FSTURWT52,W_FSTURWT53,W_FSTURWT54,W_FSTURWT55,W_FSTURWT56,W_FSTURWT57,W_FSTURWT58,W_FSTURWT59,W_FSTURWT60,W_FSTURWT61,W_FSTURWT62,W_FSTURWT63,W_FSTURWT64,W_FSTURWT65,W_FSTURWT66,W_FSTURWT67,W_FSTURWT68,W_FSTURWT69,W_FSTURWT70,W_FSTURWT71,W_FSTURWT72,W_FSTURWT73,W_FSTURWT74,W_FSTURWT75,W_FSTURWT76,W_FSTURWT77,W_FSTURWT78,W_FSTURWT79,W_FSTURWT80,male,ESCS
ALB,8,3.41727,424.584,426.257,411.099,414.619,430.036,440.567,432.962,419.711,397.722,447.882,2.20908,2.20908,4.62546,4.62546,2.20908,2.20908,4.62546,4.62546,4.62546,4.62546,2.20908,4.62546,2.20908,4.62546,2.20908,2.20908,2.20908,2.20908,4.62546,4.62546,4.62546,4.62546,2.20908,2.20908,4.62546,4.62546,2.20908,2.20908,2.20908,2.20908,4.62546,2.20908,4.62546,2.20908,4.62546,4.62546,4.62546,4.62546,2.20908,2.20908,4.62546,4.62546,2.20908,2.20908,4.62546,4.62546,2.20908,2.20908,2.20908,2.20908,4.62546,2.20908,4.62546,2.20908,4.62546,4.62546,4.62546,4.62546,2.20908,2.20908,2.20908,2.20908,4.62546,4.62546,2.20908,2.20908,4.62546,4.62546,4.62546,4.62546,2.20908,4.62546,2.20908,4.62546,2.20908,2.20908,2.20908,2.20908,4.62546,4.62546,1,-1.9799
ALB,8,4.16686,463.382,441.584,460.638,406.258,445.016,448.057,397.638,423.641,340.868,445.038,6.01471,2.07175,2.07175,6.01471,6.01471,2.07175,2.07175,2.07175,2.07175,6.01471,2.07175,6.01471,2.07175,6.01471,6.01471,6.01471,6.01471,2.07175,2.07175,6.01471,6.01471,2.07175,2.07175,6.01471,6.01471,2.07175,2.07175,2.07175,2.07175,6.01471,2.07175,6.01471,2.07175,6.01471,6.01471,6.01471,6.01471,2.07175,2.07175,6.01471,2.14945,6.27855,6.27855,2.14945,2.14945,6.27855,6.27855,6.27855,6.27855,2.14945,6.27855,2.14945,6.27855,2.14945,2.14945,2.14945,2.14945,6.27855,6.27855,2.14945,2.14945,6.27855,6.27855,2.14945,2.14945,6.27855,6.27855,6.27855,6.27855,2.14945,6.27855,2.14945,6.27855,2.14945,2.14945,2.14945,2.14945,6.27855,6.27855,2.14945,1,0.063
ALB,8,4.41304,236.252,256.475,266.678,205.883,192.52,238.344,281.653,283.705,251.607,283.39,6.61957,2.20652,6.61957,2.20652,6.61957,6.61957,6.61957,6.61957,2.20652,2.20652,6.61957,2.20652,2.20652,6.61957,6.61957,2.20652,2.20652,2.20652,2.20652,6.61957,6.61957,2.20652,6.61957,2.20652,6.61957,6.61957,6.61957,6.61957,2.20652,2.20652,6.61957,2.20652,2.20652,6.61957,6.61957,2.20652,2.20652,2.20652,2.20652,6.61957,2.20652,6.61957,2.20652,6.61957,2.20652,2.20652,2.20652,2.20652,6.61957,6.61957,2.20652,6.61957,6.61957,2.20652,2.20652,6.61957,6.61957,6.61957,6.61957,2.20652,2.20652,6.61957,2.20652,6.61957,2.20652,2.20652,2.20652,2.20652,6.61957,6.61957,2.20652,6.61957,6.61957,2.20652,2.20652,6.61957,6.61957,6.61957,6.61957,2.20652,1,-0.1699
ALB,8,7.42217,326.677,412.261,389.127,397.126,362.091,441.768,426.966,358.224,381.955,367.413,10.00727,3.57964,4.01535,10.88497,3.6153,3.97088,10.74225,10.18076,3.53544,4.00853,4.02645,3.93107,10.73552,3.54109,10.94072,3.56245,10.68644,9.97912,10.00941,10.00943,9.96981,3.63719,3.91869,10.83116,3.54299,3.93636,10.833,9.93848,3.62251,4.00948,4.00914,3.96225,10.9427,3.56069,10.76491,3.57806,10.83549,10.00817,9.93692,10.12788,4.22715,11.21478,10.74443,3.75827,11.50448,10.69588,3.75692,4.24636,11.24488,10.49321,10.49419,10.63695,3.73498,11.45069,3.80167,11.38312,3.76591,4.20236,4.24829,4.14619,4.20323,11.37801,10.47797,3.74928,11.26591,10.60558,3.79339,4.13211,11.53858,10.4957,10.45318,10.71681,3.79965,11.51278,3.72098,11.43357,3.83398,4.21717,4.21501,4.21498,1,-2.5828
ALB,8,3.86004,476.146,463.208,403.071,459.117,488.618,493.081,481.271,468.39,447.6,426.241,1.96183,5.87863,1.93237,5.78446,1.92673,1.96327,1.92941,1.89979,5.79603,5.88982,1.89868,5.6999,5.77768,1.92953,1.9296,5.69653,5.79892,5.69938,5.88713,1.93188,5.78149,1.93047,5.69605,1.96024,5.89666,5.78411,5.88331,5.79565,1.89884,1.92804,5.79712,1.93153,1.96403,5.87463,5.70009,1.93201,1.89928,1.93188,1.92684,5.69938,1.93297,5.78879,1.96384,5.69938,1.89821,1.93201,1.89951,1.92815,5.88982,5.79603,1.9277,5.78548,5.69588,1.9005,1.95954,5.78411,5.88549,5.78446,5.80004,1.96024,5.69784,1.90003,5.7831,1.93188,5.80044,5.69653,5.79181,5.88073,1.92804,1.89884,5.89152,1.95972,1.93449,5.79146,5.79142,1.96327,1.92716,1.96024,1.89911,5.78446,0,-1.1781
ALB,8,3.42999,303.243,265.959,289.399,271.391,225.121,264.672,266.863,261.497,253.466,213.446,1.72534,5.0491,5.06968,1.76484,1.77071,5.01231,5.07091,4.99178,5.09443,1.73177,4.9748,1.7425,5.01102,1.77127,1.77734,1.7261,1.77606,5.04944,4.99042,1.72552,4.95809,1.75726,1.76438,5.07443,5.08852,1.74453,1.76579,1.73798,1.77293,4.97569,1.73155,5.00674,1.74474,5.09015,5.11124,4.95928,5.10737,1.75824,1.73749,4.95866,1.72572,5.05171,5.07268,1.76589,1.77184,5.01032,5.06797,4.99346,5.09102,1.7313,4.97621,1.74314,5.00907,1.77015,1.77612,1.72571,1.77727,5.0469,4.99205,1.72515,4.95924,1.75816,1.76541,5.07759,5.09185,1.74384,1.76475,1.73857,1.77176,4.9743,1.73203,5.00862,1.74405,5.08688,5.10757,4.95813,5.11103,1.75734,1.73807,4.95753,0,-0.5965
ALB,8,3.44259,326.014,333.408,386.397,372.571,352.25,385.834,422.038,405.583,354.306,282.499,5.16388,1.72129,1.72129,5.16388,5.16388,1.72129,1.72129,1.72129,1.72129,5.16388,1.72129,5.16388,1.72129,5.16388,5.16388,5.16388,5.16388,1.72129,1.72129,5.16388,1.72129,5.16388,5.16388,1.72129,1.72129,5.16388,5.16388,5.16388,5.16388,1.72129,5.16388,1.72129,5.16388,1.72129,1.72129,1.72129,1.72129,5.16388,5.16388,1.72129,1.72129,5.16388,5.16388,1.72129,1.72129,5.16388,5.16388,5.16388,5.16388,1.72129,5.16388,1.72129,5.16388,1.72129,1.72129,1.72129,1.72129,5.16388,5.16388,1.72129,5.16388,1.72129,1.72129,5.16388,5.16388,1.72129,1.72129,1.72129,1.72129,5.16388,1.72129,5.16388,1.72129,5.16388,5.16388,5.16388,5.16388,1.72129,1.72129,5.16388,1,-1.0903
ALB,8,3.45795,548.982,547.673,494.072,496.007,528.908,532.68,531.184,518.649,542.13,507.909,5.18693,1.72898,1.72898,5.18693,5.18693,1.72898,1.72898,1.72898,1.72898,5.18693,1.72898,5.18693,1.72898,5.18693,5.18693,5.18693,5.18693,1.72898,1.72898,5.18693,1.72898,5.18693,5.18693,1.72898,1.72898,5.18693,5.18693,5.18693,5.18693,1.72898,5.18693,1.72898,5.18693,1.72898,1.72898,1.72898,1.72898,5.18693,5.18693,1.72898,1.72898,5.18693,5.18693,1.72898,1.72898,5.18693,5.18693,5.18693,5.18693,1.72898,5.18693,1.72898,5.18693,1.72898,1.72898,1.72898,1.72898,5.18693,5.18693,1.72898,5.18693,1.72898,1.72898,5.18693,5.18693,1.72898,1.72898,1.72898,1.72898,5.18693,1.72898,5.18693,1.72898,5.18693,5.18693,5.18693,5.18693,1.72898,1.72898,5.18693,0,0.7457
ALB,8,5.89072,427.944,410.134,465.617,458.125,447.684,419.742,414.402,398.195,416.776,395.832,8.55514,8.52283,3.07706,3.04657,8.53353,3.07706,3.09741,8.53353,8.52283,3.03183,3.04657,3.09741,3.04657,8.56917,3.03183,8.56917,3.07706,8.56917,8.55514,8.52283,3.04657,3.09741,8.53353,8.55514,3.07706,8.53353,8.52283,3.07706,3.09741,8.56917,8.55514,8.52283,8.55514,3.03183,8.56917,3.03183,8.53353,3.03183,3.04657,3.09741,3.04657,3.09741,8.53353,8.55514,3.07706,8.53353,8.52283,3.07706,3.09741,8.56917,8.55514,8.52283,8.55514,3.03183,8.56917,3.03183,8.53353,3.03183,3.04657,3.09741,8.55514,8.52283,3.07706,3.04657,8.53353,3.07706,3.09741,8.53353,8.52283,3.03183,3.04657,3.09741,3.04657,8.56917,3.03183,8.56917,3.07706,8.56917,8.55514,8.52283,0,-0.885
ALB,8,7.21983,454.79,376.669,357.286,410.978,425.837,412.096,421.31,360.786,432.114,493.614,11.07629,3.60436,3.52981,10.89562,3.58318,3.51315,10.91525,11.32219,3.63102,3.51525,3.52117,3.50651,10.8718,3.59559,10.80664,3.57174,10.76777,11.13247,11.25285,11.26714,11.07629,3.60436,3.52981,10.89562,3.58318,3.51315,10.91525,11.32219,3.63102,3.51525,3.52117,3.50651,10.8718,3.59559,10.80664,3.57174,10.76777,11.13247,11.25285,11.26714,11.07629,3.60436,3.52981,10.89562,3.58318,3.51315,10.91525,11.32219,3.63102,3.51525,3.52117,3.50651,10.8718,3.59559,10.80664,3.57174,10.76777,11.13247,11.25285,11.26714,11.07629,3.60436,3.52981,10.89562,3.58318,3.51315,10.91525,11.32219,3.63102,3.51525,3.52117,3.50651,10.8718,3.59559,10.80664,3.57174,10.76777,11.13247,11.25285,11.26714,0,-1.6258
ALB,8,3.89729,428.219,356.963,376.423,433.913,385.412,348.563,367.366,387.414,376.622,379.155,1.88656,5.49458,5.93641,2.13514,5.50148,5.93641,2.11506,1.92384,5.49458,6.01806,6.04732,5.97567,2.13514,5.39456,2.12481,5.39456,2.10116,1.88965,1.88656,1.92142,6.04732,2.11506,1.92384,5.38573,2.10116,1.92384,5.49458,5.93641,2.11506,1.88965,1.88656,1.92142,5.38573,2.12481,5.39456,2.12481,5.50148,6.01806,6.04732,5.97567,6.04732,2.11506,1.92384,5.38573,2.10116,1.92384,5.49458,5.93641,2.11506,1.88965,1.88656,1.92142,5.38573,2.12481,5.39456,2.12481,5.50148,6.01806,6.04732,5.97567,1.88656,5.49458,5.93641,2.13514,5.50148,5.93641,2.11506,1.92384,5.49458,6.01806,6.04732,5.97567,2.13514,5.39456,2.12481,5.39456,2.10116,1.88965,1.88656,1.92142,1,-0.3345
